State,Year,Deaths,Total_Deaths_Annual,Mortality_Rate_Per_100k,Mortality_Rank_National,Mortality_Percentile,Mortality_YoY_Change_Pct,Deaths_YoY_Change_Pct,Mortality_3Yr_Rolling_Avg,Mortality_Trend_Slope,Deaths_Cumulative_2018,Mortality_Volatility,County_Burden_Concentration,High_Burden_County_Count,Total_Population,Population_65plus,Population_85plus,Population_75_84,Pct_Population_65plus,Pct_Population_85plus,Pct_Population_75_84,Working_Age_Population,Elderly_Dependency_Ratio,Very_Old_Ratio,Age_65plus_YoY_Growth,Age_85plus_YoY_Growth,Deaths_Female,Deaths_Male,Mortality_Rate_Female,Mortality_Rate_Male,Female_Male_Death_Ratio,Female_Pct_Of_Deaths,State_Code,Total_Funding_Annual,Mean_Award_Size,Median_Award_Size,Award_Size_StdDev,Total_Direct_Cost,Total_Indirect_Cost,Number_Of_Projects,Number_Of_Applications,Total_Funding_Millions,Mean_Award_Millions,Indirect_Cost_Ratio,Funding_YoY_Change_Pct,Projects_YoY_Change,Funding_3Yr_Rolling_Avg,Funding_Trend_Slope,Funding_Cumulative_2018,Funding_Volatility,Number_Of_Institutions,Number_Of_PIs,Number_Of_Unique_Projects,Number_Of_Universities,Number_Of_Schools,Number_Of_Medical_Centers,Top_Institution_Funding_Share,PIs_Per_Institution,Mortality_Rate_Per_100k_Lag1,Mortality_Rate_Per_100k_Lag2,Mortality_Rate_Per_100k_Lag3,Total_Deaths_Annual_Lag1,Total_Deaths_Annual_Lag2,Total_Deaths_Annual_Lag3,Population_65plus_Lag1,Population_65plus_Lag2,Population_65plus_Lag3,Population_85plus_Lag1,Population_85plus_Lag2,Population_85plus_Lag3,Total_Funding_Annual_Lag1,Total_Funding_Annual_Lag2,Total_Funding_Annual_Lag3,Number_Of_Projects_Lag1,Number_Of_Projects_Lag2,Number_Of_Projects_Lag3,Population,Funding_Per_Death,Funding_Per_65plus,Funding_Per_Capita,Projects_Per_Million_Pop,Funding_Per_Mortality_Unit,Deaths_Per_100k_Elderly,Overall_Burden_Index,Research_Capacity_Index,Funding_Burden_Alignment,Num_R1_Universities,Per_Capita_Income,Median_Income,Prior_NIH_Funding_Total,Rural_Population_Pct,Region,Regional_Avg_Funding,Regional_Avg_Mortality,Regional_Avg_65plus_Pop,Funding_vs_Regional_Avg,Mortality_vs_Regional_Avg
Alabama,2019,1011,1011,20.733145347346834,17.0,68.62745098039215,,,20.733145347346834,-1.767903618823911,1011,,53.21463897131553,3.0,4876250,121044,44938,76106,2.482317354524481,0.9215688285055115,1.5607485260189695,3023275.0,4.003737668587872,37.12534285053369,,,857.0,154.0,17.574980774160473,3.1581645731863626,5.564935064935065,84.7675568743818,AL,15325489.0,494370.6129032258,371250.0,617004.2350375281,11101438.0,4561291.0,33,35,15.325489,0.4943706129032258,0.4108738885899286,,,15325489.0,3651415.5999999978,15325489.0,,6,34,33,0.0,3.0,1.0,83.79008330500906,5.666666666666667,,,,,,,,,,,,,,,,,,,4876250,15158.742828882294,126.61089355936684,3.1428841835426815,6.767495513970777,739178.1971933729,835.2334688212551,0.012858400652699711,-0.35468268151057963,-0.4602672645086934,2,27928,50536,0.0,40.474485018702495,South,31667078.76470588,15.312540089909643,240384.76470588235,-16341589.764705881,5.420605257437192
Alabama,2020,1464,1464,29.91915696644272,8.0,86.27450980392157,44.30592399368578,44.80712166172107,25.326151156894777,-1.767903618823911,2475,6.495491107921119,50.27322404371585,4.0,4893186,170981,62292,89672,3.4942673342072017,1.273035605022985,1.8325892373598713,3033775.32,5.635915055172906,36.43211818857066,41.2552460262384,38.617650985802655,1252.0,212.0,25.58660144944419,4.332555516998537,5.90566037735849,85.51912568306011,AL,19630313.0,478788.1219512195,371250.0,581577.2318440689,15425902.0,5521003.0,43,47,19.630313,0.4787881219512195,0.35790471117993616,28.08930925466717,10.0,17477901.0,3651415.5999999978,34955802.0,3043970.242214598,7,43,43,0.0,4.0,0.0,91.28247725851341,6.142857142857143,20.733145347346834,,,1011.0,,,121044,,,44938,,,15325489.0,,,33.0,,,4893186,13408.683743169398,114.80990870330622,4.01176513625274,8.787730529761182,656111.8357050411,856.2354881536545,0.5569068383705628,-0.2806929904230835,-0.9622181133931696,2,28934,52035,15325489.0,17.696297177359362,South,37824766.176470585,19.19583265640101,299064.8823529412,-18194453.176470585,10.723324310041711
Alabama,2021,1234,1234,24.691481538915596,7.0,88.23529411764706,-17.47266954543698,-15.710382513661203,25.114594617568383,-1.767903618823911,3709,4.607599252814468,59.15721231766613,4.0,4997675,189790,50391,88854,3.79756586812868,1.0082888543172575,1.777906726627882,3098558.5,6.125106238917226,26.550924706254282,11.000637497733656,-19.10518204584858,987.0,247.0,19.749183370267176,4.9422981686484215,3.9959514170040484,79.98379254457049,AL,22465502.0,477989.40425531915,371250.0,539221.6182098552,17912318.0,6674013.0,46,52,22.465502,0.47798940425531916,0.3725934856672375,14.442912856254498,3.0,19140434.666666668,3651415.5999999978,57421304.0,3595126.144677587,8,45,46,1.0,4.0,0.0,85.87647852249195,5.625,29.91915696644272,20.733145347346834,,1464.0,1011.0,,170981,121044,,62292,44938,,19630313.0,15325489.0,,43.0,33.0,,4997675,18205.431118314424,118.3703145581959,4.495190663658601,9.20427999019544,909848.2796422204,650.1923178249644,0.3751902411690568,-0.24272957076247392,-0.7527757320976006,2,30458,54943,19630313.0,32.75784725086181,South,43056852.52941176,15.02377230694195,274485.76470588235,-20591350.529411763,9.667709231973646
Alabama,2022,1049,1049,20.862784531388847,15.0,72.54901960784314,-15.506145313688203,-14.991896272285254,25.15780767891572,-1.767903618823911,4758,4.546159420019987,54.814108674928505,4.0,5028092,154445,41284,95952,3.0716422849860345,0.8210669176299876,1.9083183044383434,3117417.04,4.954261749977475,26.730551328952057,-18.62321513251488,-18.07267170724931,853.0,196.0,16.964685610366715,3.8980989210221293,4.3520408163265305,81.31553860819828,AL,21919397.0,521890.40476190473,387763.0,622125.9135307664,18311538.0,6326928.0,42,47,21.919397,0.5218904047619047,0.34551592553285254,-2.430860436592963,-4.0,21338404.0,3651415.5999999978,79340701.0,1504240.2786679375,8,43,42,1.0,5.0,0.0,84.35794105102435,5.375,24.691481538915596,29.91915696644272,20.733145347346834,1234.0,1464.0,1011.0,189790,170981,121044,50391,62292,44938,22465502.0,19630313.0,15325489.0,46.0,43.0,33.0,5028092,20895.516682554815,141.92364272070964,4.359386622201821,8.353069116475991,1050645.8026742039,679.2061899057917,0.1060410505740736,-0.2581498570780259,-0.48896699299374846,2,33344,59609,22465502.0,25.060648930902595,South,48622889.294117644,15.051568698060166,278305.9411764706,-26703492.294117644,5.811215833328681
Alabama,2023,830,830,16.421813470754234,23.0,56.86274509803921,-21.286569172743953,-20.87702573879886,20.658693180352895,-1.767903618823911,5588,4.138609965805869,56.867469879518076,4.0,5054253,114535,33063,81472,2.2661113323769113,0.6541619503416232,1.6119493820352877,3133636.86,3.6550182780272764,28.867158510498975,-25.840914241315684,-19.913283596550723,685.0,145.0,13.552942442730904,2.8688710280233303,4.724137931034483,82.53012048192771,AL,32438025.0,636039.7058823529,371250.0,1204540.3330185884,27738730.0,7178729.0,53,54,32.438025,0.6360397058823529,0.25879804158301406,47.98776170713091,11.0,25607641.333333332,3651415.5999999978,111778726.0,5921584.538209037,7,49,53,1.0,5.0,1.0,59.142669752551214,7.0,20.862784531388847,24.691481538915596,29.91915696644272,1049.0,1234.0,1464.0,154445,189790,170981,41284,50391,62292,21919397.0,22465502.0,19630313.0,42.0,46.0,43.0,5054253,39081.9578313253,283.2149561269481,6.417966215779067,10.486218240361138,1975301.026148494,724.6693150565329,-0.201611371224471,-0.23955919738429757,-0.07845116106848346,2,34835,62027,21919397.0,31.341831551027774,South,49637571.35294118,12.716180840659622,278406.0,-17199546.352941178,3.7056326300946125
Alaska,2019,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Alaska,2020,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Alaska,2021,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Alaska,2022,38,38,5.171327438927303,47.0,9.803921568627452,153.72290666706587,153.33333333333331,3.8504974184973135,-0.18692277631763712,108,1.6233684185429917,100.0,0.0,734821,4439,2436,2003,0.6040926974052184,0.3315093063480766,0.2725833910571418,455589.02,0.9743430603309974,54.877224600135165,284.6620450606586,111.09185441941074,38.0,,5.171327438927303,,,,AK,797562.0,398781.0,398781.0,22671.257618403088,525000.0,272562.0,2,2,0.797562,0.398781,0.5191657142857142,,,797562.0,,797562.0,,1,2,2,1.0,1.0,0.0,100.0,2.0,,,,,,,,,,,,,,,,,,,734821,20988.473684210527,179.67154764586618,1.0853826986436153,2.7217512836459488,154227.71221105263,856.0486596080199,-0.9602999302953598,-0.6423440065745175,-0.3708200555345167,1,42828,86370,0.0,28.892486568290522,West,68532690.3076923,21.28792901885877,454884.46153846156,-67735128.3076923,-16.116601579931466
Alaska,2023,13,13,1.771187144996192,49.0,5.88235294117647,-65.74985502438824,-65.78947368421053,2.9935645853927233,-0.18692277631763712,121,1.890716655221296,100.0,0.0,733971,2041,,2041,0.27807638176440214,,0.27807638176440214,455062.02,0.4485102931683905,,-54.021175940527144,0.0,13.0,,1.771187144996192,,,,AK,198448.0,198448.0,198448.0,,128031.0,70417.0,1,1,0.198448,0.198448,0.5499996094695816,-75.11817263109326,-1.0,498005.0,,996010.0,423637.5721037972,1,1,1,0.0,1.0,0.0,100.0,1.0,5.171327438927303,,,38.0,,,4439,,,2436,,,797562.0,,,2.0,,,733971,15265.23076923077,97.23076923076923,0.2703758050386187,1.3624516499970707,112042.36692923076,636.9426751592357,-1.135136108608148,-0.6474906167783585,-0.539797398541535,1,44928,89336,797562.0,55.33302506044762,West,70407089.6923077,19.5641959357848,473191.6923076923,-70208641.6923077,-17.79300879078861
